,Metal,Subcategory,Country,Percentage,name,alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code,Category,URL,Rank Order,Color,Color Code
28,Chromium,Total,Mexico,6,Mexico,MX,MEX,484.0,ISO 3166-2:MX,Americas,Latin America and the Caribbean,Central America,19.0,419.0,13.0,Strong Partner,https://www.state.gov/u-s-relations-with-Mexico,4.0,#27AE60,#27AE60
29,Chromium,Total,Other,40,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
30,Gallium,Total,China,53,China,CN,CHN,156.0,ISO 3166-2:CN,Asia,Eastern Asia,,142.0,30.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-China ,9.0,#EC7063,#EC7063
31,Gallium,Total,United Kingdom,11,United Kingdom,GB,GBR,826.0,ISO 3166-2:GB,Europe,Northern Europe,,150.0,154.0,,NATO Member,https://www.state.gov/u-s-relations-with-United Kingdom,1.0,#3498DB,#3498DB
32,Gallium,Total,Germany,9,Germany,DE,DEU,276.0,ISO 3166-2:DE,Europe,Western Europe,,150.0,155.0,,NATO Member,https://www.state.gov/u-s-relations-with-Germany,1.0,#3498DB,#3498DB
33,Gallium,Total,Ukraine,7,Ukraine,UA,UKR,804.0,ISO 3166-2:UA,Europe,Eastern Europe,,150.0,151.0,,Strong Partner,https://www.state.gov/u-s-relations-with-Ukraine,4.0,#27AE60,#27AE60
34,Gallium,Total,Other,20,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
35,Germanium,Total,China,53,China,CN,CHN,156.0,ISO 3166-2:CN,Asia,Eastern Asia,,142.0,30.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-China ,9.0,#EC7063,#EC7063
36,Germanium,Total,Belgium,22,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,,NATO Member,https://www.state.gov/u-s-relations-with-Belgium,1.0,#3498DB,#3498DB
37,Germanium,Total,Germany,11,Germany,DE,DEU,276.0,ISO 3166-2:DE,Europe,Western Europe,,150.0,155.0,,NATO Member,https://www.state.gov/u-s-relations-with-Germany,1.0,#3498DB,#3498DB
38,Germanium,Total,Russia,9,Russia,RU,RUS,643.0,ISO 3166-2:RU,Europe,Eastern Europe,,150.0,151.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-Russia,9.0,#EC7063,#EC7063
39,Germanium,Total,Other,5,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
40,Graphite,Total,China,33,China,CN,CHN,156.0,ISO 3166-2:CN,Asia,Eastern Asia,,142.0,30.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-China ,9.0,#EC7063,#EC7063
41,Graphite,Total,Mexico,21,Mexico,MX,MEX,484.0,ISO 3166-2:MX,Americas,Latin America and the Caribbean,Central America,19.0,419.0,13.0,Strong Partner,https://www.state.gov/u-s-relations-with-Mexico,4.0,#27AE60,#27AE60
42,Graphite,Total,Canada,17,Canada,CA,CAN,124.0,ISO 3166-2:CA,Americas,Northern America,,19.0,21.0,,NATO Member,https://www.state.gov/u-s-relations-with-Canada ,1.0,#3498DB,#3498DB
43,Graphite,Total,India,9,India,IN,IND,356.0,ISO 3166-2:IN,Asia,Southern Asia,,142.0,34.0,,Strategic Partner,https://www.state.gov/u-s-relations-with-India,3.0,#AED6F1,#AED6F1
44,Graphite,Total,Other,20,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
45,Silicon,Ferrosilicon,Russia,40,Russia,RU,RUS,643.0,ISO 3166-2:RU,Europe,Eastern Europe,,150.0,151.0,,Strategic Competitor,https://www.state.gov/u-s-relations-with-Russia,9.0,#EC7063,#EC7063
46,Silicon,Ferrosilicon,Canada,14,Canada,CA,CAN,124.0,ISO 3166-2:CA,Americas,Northern America,,19.0,21.0,,NATO Member,https://www.state.gov/u-s-relations-with-Canada ,1.0,#3498DB,#3498DB
47,Silicon,Ferrosilicon,Brazil,10,Brazil,BR,BRA,76.0,ISO 3166-2:BR,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Brazil,2.0,#5DADE2,#5DADE2
48,Silicon,Ferrosilicon,Iceland,8,Iceland,IS,ISL,352.0,ISO 3166-2:IS,Europe,Northern Europe,,150.0,154.0,,NATO Member,https://www.state.gov/u-s-relations-with-Iceland,1.0,#3498DB,#3498DB
49,Silicon,Ferrosilicon,Other,28,Other,,,,,,,,,,,Other,,,#D1E2E7,#D1E2E7
50,Silicon,Silicon metal,Brazil,30,Brazil,BR,BRA,76.0,ISO 3166-2:BR,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0,Major Non-NATO Ally,https://www.state.gov/u-s-relations-with-Brazil,2.0,#5DADE2,#5DADE2
51,Silicon,Silicon metal,Canada,21,Canada,CA,CAN,124.0,ISO 3166-2:CA,Americas,Northern America,,19.0,21.0,,NATO Member,https://www.state.gov/u-s-relations-with-Canada ,1.0,#3498DB,#3498DB
